label,domain,method,k,prec_mean,prec_std,spearman
email-Enron,email,localized,20000,0.98,0.007071067811865481,0.984767358098982
email-Enron,email,localized,50000,0.99125,0.005994789404140905,0.9931397030208218
email-Enron,email,weighted,200,0.7925,0.024874685927665507,0.5674904128580487
email-Enron,email,weighted,500,0.8425,0.022220486043288957,0.7133160429220513
email-Enron,email,weighted,1000,0.8925000000000001,0.011989578808281809,0.829016730044729
email-Enron,email,weighted,2000,0.9225,0.015612494995995986,0.8934777264061358
email-Enron,email,weighted,5000,0.94875,0.017633419974582332,0.9518792708163639
email-Enron,email,weighted,10000,0.97125,0.005994789404140905,0.9765867801803498
email-Enron,email,weighted,20000,0.98,0.008660254037844395,0.9861317283569772
email-Enron,email,weighted,50000,0.9862500000000001,0.006959705453537534,0.9935883246930248
email-Eu,email,localized,200,0.255,0.05049752469181039,0.23698558855989366
email-Eu,email,localized,500,0.4375,0.052855936279664936,0.38595655332910517
email-Eu,email,localized,1000,0.55875,0.028476964374736274,0.49975204920074884
email-Eu,email,localized,2000,0.66,0.011180339887498959,0.6462719112856021
email-Eu,email,localized,5000,0.76,0.02872281323269017,0.824739044509911
email-Eu,email,localized,10000,0.8225,0.02772634126602352,0.906643134487704
email-Eu,email,localized,20000,0.865,0.015000000000000015,0.9533421693671144
email-Eu,email,localized,50000,0.9275,0.02106537443294087,0.9833144526439871
email-Eu,email,weighted,200,0.4625,0.07838207703295443,0.38642332882991537
email-Eu,email,weighted,500,0.525,0.021794494717703387,0.5355180953908145
email-Eu,email,weighted,1000,0.6212500000000001,0.031795243354942264,0.6466562175925104
email-Eu,email,weighted,2000,0.7225,0.024874685927665497,0.7305624896864218
email-Eu,email,weighted,5000,0.80625,0.01576190026614809,0.8406322074321947
email-Eu,email,weighted,10000,0.8587499999999999,0.018998355191963346,0.8951458036049096
email-Eu,email,weighted,20000,0.9,0.01999999999999999,0.9415163235097526
email-Eu,email,weighted,50000,0.9375,0.016393596310754967,0.9714154136961541
NDC-classes,drugs,localized,200,0.18375,0.04060095442227929,0.25363531470605777
NDC-classes,drugs,localized,500,0.34875,0.054414497149197286,0.4130920982904828
NDC-classes,drugs,localized,1000,0.58625,0.0319912097301743,0.5895340752402238
NDC-classes,drugs,localized,2000,0.7762499999999999,0.03805834336909582,0.7329639149507285
NDC-classes,drugs,localized,5000,0.9087500000000001,0.01763341997458237,0.878100837806698
NDC-classes,drugs,localized,10000,0.9325000000000001,0.013919410907075025,0.9230352888863034
NDC-classes,drugs,localized,20000,0.9512499999999999,0.01053268721647043,0.9563604895611673
NDC-classes,drugs,localized,50000,0.9737499999999999,0.014086784586980818,0.9809286558680005
NDC-classes,drugs,weighted,200,0.48250000000000004,0.06722164829874375,0.5975191023018643
NDC-classes,drugs,weighted,500,0.75,0.037749172176353755,0.7588903140223706
NDC-classes,drugs,weighted,1000,0.8512500000000001,0.02521780125229004,0.8406429529946089
NDC-classes,drugs,weighted,2000,0.89375,0.01576190026614813,0.8874688120808017
NDC-classes,drugs,weighted,5000,0.9425,0.008291561975888486,0.9271926627917422
NDC-classes,drugs,weighted,10000,0.95375,0.01727534370135656,0.9556197069264162
NDC-classes,drugs,weighted,20000,0.95875,0.010532687216470457,0.9702786691752927
NDC-classes,drugs,weighted,50000,0.97875,0.007806247497998005,0.9878572290113788
NDC-substances,drugs,localized,200,0.2375,0.056069153730014504,0.22760628852173867
NDC-substances,drugs,localized,500,0.41875,0.043138584816843496,0.34781820144027753
NDC-substances,drugs,localized,1000,0.5137499999999999,0.050729059719257556,0.42398989541498455
NDC-substances,drugs,localized,2000,0.63375,0.04794202227691278,0.5386232804172241
NDC-substances,drugs,localized,5000,0.725,0.022360679774997918,0.6855861183888783
NDC-substances,drugs,localized,10000,0.7999999999999999,0.014142135623730925,0.7917088778961056
NDC-substances,drugs,localized,20000,0.86375,0.016535945694153707,0.8716841232316386
NDC-substances,drugs,localized,50000,0.9175,0.013919410907075044,0.9413177585792785
NDC-substances,drugs,weighted,200,0.47625,0.044703886855619185,0.34953787274399195
NDC-substances,drugs,weighted,500,0.53,0.043011626335213146,0.4734207977526945
NDC-substances,drugs,weighted,1000,0.59875,0.0284769643747363,0.5650761131091318
NDC-substances,drugs,weighted,2000,0.72125,0.03218598297395936,0.6507094452194793
NDC-substances,drugs,weighted,5000,0.8262499999999999,0.024462982238476146,0.7592160974128755
NDC-substances,drugs,weighted,10000,0.895,0.017320508075688787,0.8138847584432957
NDC-substances,drugs,weighted,20000,0.9175000000000001,0.014790199457749053,0.8632073985829336
NDC-substances,drugs,weighted,50000,0.945,0.007071067811865481,0.9143579040952976
DAWN,drugs,localized,200,0.3275,0.028613807855648998,0.33692116757568946
DAWN,drugs,localized,500,0.43374999999999997,0.0193245310421754,0.4770956944190596
DAWN,drugs,localized,1000,0.50625,0.03838538133196022,0.6025372445888664
DAWN,drugs,localized,2000,0.55125,0.03179524335494225,0.7134145756480879
DAWN,drugs,localized,5000,0.665,0.02598076211353314,0.8479390313224773
DAWN,drugs,localized,10000,0.735,0.031224989991992018,0.907586851696748
DAWN,drugs,localized,20000,0.78,0.025,0.94772940780105
DAWN,drugs,localized,50000,0.87,0.022360679774997918,0.9780271439390776
DAWN,drugs,weighted,200,0.30875,0.03218598297395932,0.3827878367081771
DAWN,drugs,weighted,500,0.44875,0.027585095613392382,0.5333578102895116
DAWN,drugs,weighted,1000,0.5375000000000001,0.05332682251925385,0.6366990848765115
DAWN,drugs,weighted,2000,0.6,0.03240370349203931,0.7325455141515056
DAWN,drugs,weighted,5000,0.7275,0.035968736424845396,0.8150215144752688
DAWN,drugs,weighted,10000,0.805,0.014999999999999977,0.8660083755605199
DAWN,drugs,weighted,20000,0.8500000000000001,0.025495097567963927,0.9004772668186056
DAWN,drugs,weighted,50000,0.8975,0.015612494995996009,0.9364910301949303
tags-math-sx,tags,localized,200,0.365,0.045276925690687087,0.30586390496049637
tags-math-sx,tags,localized,500,0.4675,0.05494315243958978,0.4455515274206921
tags-math-sx,tags,localized,1000,0.5725,0.03596873642484539,0.5481924020139715
tags-math-sx,tags,localized,2000,0.66125,0.03854785986277319,0.6798762633523356
tags-math-sx,tags,localized,5000,0.78125,0.02976470224947665,0.8334708496241652
tags-math-sx,tags,localized,10000,0.83875,0.025217801252290013,0.9147103011185764
tags-math-sx,tags,localized,20000,0.89375,0.024462982238476153,0.9627589112840907
tags-math-sx,tags,localized,50000,0.92875,0.014523687548277774,0.9865640158296759
tags-math-sx,tags,weighted,200,0.385,0.03968626966596885,0.3774519992414317
tags-math-sx,tags,weighted,500,0.54875,0.03179524335494225,0.524227305274132
tags-math-sx,tags,weighted,1000,0.61375,0.03314268395890716,0.6192303000495913
tags-math-sx,tags,weighted,2000,0.7424999999999999,0.01561249499599601,0.7153427660071419
tags-math-sx,tags,weighted,5000,0.82375,0.019324531042175356,0.8300760357628285
tags-math-sx,tags,weighted,10000,0.87125,0.018328597873268994,0.8840776925200468
tags-math-sx,tags,weighted,20000,0.9012500000000001,0.014523687548277826,0.9293178374310438
tags-math-sx,tags,weighted,50000,0.9324999999999999,0.013919410907075018,0.9643981370669257
tags-ask-ubuntu,tags,localized,200,0.34750000000000003,0.035968736424845396,0.24041048455102682
