model,block,train,test,perfect_over_loc,learned_over_loc,capture,pred_corr
ridge,ABC,congress-bills,cs-cocitations,1.498426821066899,1.1221174038911912,0.2450056833414279,0.6555314183422006
gbt,ABC,congress-bills,cs-cocitations,1.498426821066899,1.0028899179596067,0.00579807874989698,0.42461008106236575
ridge,A,congress-bills,diseasome,3.9900640519565753,1.0,0.0,
ridge,AB,congress-bills,diseasome,3.9900640519565753,1.4842617465018637,0.16195698088306257,0.4997195447234881
ridge,ABC,congress-bills,diseasome,3.9900640519565753,1.7163867945162723,0.23958911316548492,0.44404318461844206
gbt,ABC,congress-bills,diseasome,3.9900640519565753,0.9826095227432055,-0.005816088536770619,-0.09569682393702676
ridge,A,congress-bills,hospital-lyon,1.0879241574641232,1.0052674079252717,0.05990854023731785,0.7933140742420804
ridge,AB,congress-bills,hospital-lyon,1.0879241574641232,1.0381460864265326,0.4338521690366819,0.8842987871128535
ridge,ABC,congress-bills,hospital-lyon,1.0879241574641232,1.0275630671008096,0.3134868493002789,0.8709917781449522
gbt,ABC,congress-bills,hospital-lyon,1.0879241574641232,1.0258938604052923,0.2945022295591299,0.5475517463437678
ridge,A,congress-bills,house-committees,6.46048355911533,1.0235266722097238,0.004308532743487547,0.11331957851965083
ridge,AB,congress-bills,house-committees,6.46048355911533,1.3119904260638884,0.05713604348154743,0.218628364766222
ridge,ABC,congress-bills,house-committees,6.46048355911533,1.3439797526030703,0.06299437565906701,0.22702161271540872
gbt,ABC,congress-bills,house-committees,6.46048355911533,1.1466202306156463,0.026851144047652938,0.06854605169748954
ridge,A,congress-bills,hypertext-conference,1.1388262015279327,1.0450374921360532,0.3244163683826746,0.8809062409008002
ridge,AB,congress-bills,hypertext-conference,1.1388262015279327,1.0594244914353375,0.42804953806490836,0.8969136265977359
ridge,ABC,congress-bills,hypertext-conference,1.1388262015279327,1.0558931775764209,0.4026125973429794,0.9044363400939387
gbt,ABC,congress-bills,hypertext-conference,1.1388262015279327,1.0261696228083779,0.18850636638006968,0.8172437649427023
ridge,A,congress-bills,invs13,1.2663198563455473,1.0,0.0,
ridge,AB,congress-bills,invs13,1.2663198563455473,1.008431893730311,0.03166077755528168,0.5673521826915895
ridge,ABC,congress-bills,invs13,1.2663198563455473,1.0135014229718617,0.05069626860395938,0.5837019298454665
